sl	prompt	solution0	solution1	label	Category	langauge (FLORES-200 code)
25	ଦେଖ, ପୁରୀ ବିଚ୍‌ରେ ଛତା ଲଗାଇବାବେଳେ ବାତାସ ଓ ବାଳୁକାର ଦୃଢତା କାହିଁକି ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ? ଭିତ୍ତି କିପରି ମଜବୁତ କରିବ?	ଛତା ଲଗାଇବାକୁ ଆଉ କିଛି ଦରକାର ନାହିଁ; ବାଳୁକା ଯେମିତି ହେଉ, ଛତା ସବୁବେଳେ ସିଧା ରହିବ।	ବିଚ୍‌ର ବାତାସ ଜୋର ହୋଇପାରେ, ତେଣୁ ଛତାର ଖୁଟିକୁ ଭଲ ଭାବେ ଗଭୀରରେ ପୋତିବା ଦରକାର। ବାଳୁକା ଅତି ଢିଲା ହେଲେ ଖୁଟି ହଲୁହଲୁ କରିପାରେ, ସେହିପାଇଁ ଚାରିପାଖରେ ବାଳୁକା ଭଲ ଚାପିଦେବା କିମ୍ବା ଭାର ରଖିଲେ ସ୍ଥିରତା ବଢ଼େ।	1	Puri	ory_Orya
26	ଚାଲ, ପୁରୀ ଶପ୍‌ରୁ କିଣା ମାଟି/ସେରାମିକ୍ ମଗ୍‌କୁ ଧରି ଦେଖ। ତାହାର ଓଜନ, ତାପ ଧରିରଖିବା, ଓ ପୃଷ୍ଠତଳର ମସୃଣତା କିପରି ଲାଗିପାରେ?	ସେରାମିକ୍ ମଗ୍ ସବୁବେଳେ ଏକଦମ ହାଲୁକା ଏବଂ ତାପ ଧରିପାରେ ନାହିଁ; ପୃଷ୍ଠତଳ ରଖା ହୋଇଥାଏ।	ସେରାମିକ୍/ମାଟି ମଗ୍ ଅପେକ୍ଷାକୃତ ଓଜନଦାର ଲାଗିପାରେ। ଗରମ ପାନୀୟ ରଖିଲେ କିଛି ସମୟ ତାପ ଧରିରଖେ, ଏବଂ ଗ୍ଲେଜ୍ ଥିଲେ ପୃଷ୍ଠତଳ ମସୃଣ ଲାଗିପାରେ; ଗ୍ଲେଜ୍ ନଥିଲେ ଅଳ୍ପ ଖରାପ ଲାଗିପାରେ।	1	Puri	ory_Orya
27	କଳ୍ପନା କର, ପୁରୀର ବିଚ୍‌ ସାଇଡ୍ ଭେଣ୍ଡର୍‌ଠାରୁ ଖେଳନା ପବନଚକି କିଣିଲୁ। ହାୱା ଲାଗିଲେ ଏହା ଘୁରିବାରେ ପ୍ଲାଷ୍ଟିକ ଓ ପତଳା ପେପର ମଧ୍ୟରେ କେଉଁ ଶାରୀରିକ ତଫାତ ଦେଖିବ?	ପେପର ପବନଚକି ଭାରୀ ଓ ଧୀରେ ଘୁରେ, ପ୍ଲାଷ୍ଟିକ ଏକଦମ ହାଲୁକା ହୋଇ ଭାଙ୍ଗିଯାଏ।	ପତଳା ପେପର ପବନଚକି ହାଲୁକା ହୋଇଥାଏ ଏବଂ କମ୍ ବାତାସରେ ମଧ୍ୟ ଘୁରିପାରେ, କିନ୍ତୁ ଭିଜିଲେ ନରମ ହୋଇପାରେ। ପ୍ଲାଷ୍ଟିକ ପବନଚକି ଅପେକକ୍ଷାକୃତ ଟିକାଉ ହୋଇପାରେ, ହେଲେ ମୋଟା ପ୍ଲାଷ୍ଟିକ ହେଲେ ଘୁରିବାକୁ ଅଳ୍ପ ଅଧିକ ବାତାସ ଲାଗିପାରେ।	1	Puri	ory_Orya
28	ଏକ ଲକ୍ଷ୍ୟ କର: ପୁରୀ ବିଚ୍‌ରେ ଭିଜା ବାଳୁକା ଦ୍ୱାରା ବାଳୁକା ଘର ବନେଇଲେ କାହିଁକି ଭଲ ଧରିଥାଏ? ଶୁଖିଲା ବାଳୁକା ସହ ତୁଳନା କର।	ଶୁଖିଲା ବାଳୁକା ମାଟି ପରି ଲଗି ରହିଥାଏ, ଭିଜା ବାଳୁକା ସହଜରେ ଖସିଯାଏ ଏବଂ ଆକାର ଧରିପାରେ ନାହିଁ।	ଭିଜା ବାଳୁକାରେ ପାଣି ଥିବାରୁ ଦାଣାଗୁଡ଼ିକ ଆଉଁଟି ଧରିଥାଏ, ତେଣୁ ଆକାର ସହଜରେ ଧରିଯାଏ ଏବଂ sandcastle ମଜବୁତ ହୁଏ। ଶୁଖିଲା ବାଳୁକା ଢିଲା ଥାଇ, ଛାଞ୍ଚ ଖୋଲିଲେ ସହଜରେ ଭାଙ୍ଗିପଡ଼ିପାରେ।	1	Puri	ory_Orya
29	ଭାବ, ପୁରୀ ସି-ଫୁଡ୍‌ରେ ଚିଙ୍ଗୁଡ଼ି ସାଫ କରିବାବେଳେ ଛିଲ୍କାର ଦୃଢତା ଓ ଭିଜା ଟେକ୍ସଚର କେମିତି ଲାଗେ? କାମ କରିବା ସମୟରେ କ’ଣ ସହଜ/କଠିନ?	ଚିଙ୍ଗୁଡ଼ିର ଛିଲ୍କା ଗମ୍ ପରି ନରମ ଥାଏ, ତେଣୁ ଆଙ୍ଗୁଠିରେ ସହଜରେ ଘସି ଗଳିଯାଏ ଏବଂ ଭିଜାପନ ଅନୁଭବ ହୁଏ ନାହିଁ।	ଚିଙ୍ଗୁଡ଼ିର ଛିଲ୍କା ଅପେକ୍ଷାକୃତ କଠିନ ଓ ସ୍ଲିପ୍ପେରୀ ହୋଇପାରେ, ତେଣୁ ଧରିବାବେଳେ ଅଳ୍ପ ସାବଧାନ ଲାଗେ। ଭିଜା ଟେକ୍ସଚର ଥିବାରୁ ହାତ ଚିପଚିପା ହୋଇପାରେ; ଏହିପାଇଁ ଧୋଇ-ଧୋଇ କାମ କଲେ ସହଜ ହୁଏ।	1	Puri	ory_Orya
30	କଳ୍ପନା କର, ପୁରୀ ବିଚ୍‌ରେ ସନ୍ଧ୍ୟାବେଳେ ହାୱା ବଢ଼ିଲା। ତୁମେ ହାତରେ ଧରିଥିବା ହାଲୁକା ଛତା/ଟୋପି କିପରି ପ୍ରଭାବିତ ହେବ? ଓଜନ ଓ ବାତାସର ଚାପ ବିଷୟରେ କହ।	ବାତାସ ଜୋର ହେଲେ ହାଲୁକା ଜିନିଷ ଅଧିକ ସ୍ଥିର ହୋଇଯାଏ ଏବଂ ହାତରୁ ଖସେ ନାହିଁ।	ବାତାସ ଜୋର ହେଲେ ହାଲୁକା ଛତା/ଟୋପି ଉପରେ ଚାପ ପଡ଼ି ଉଡ଼ିବା କିମ୍ବା ହାତରୁ ଖସିବା ସମ୍ଭାବନା ବଢ଼େ। ତେଣୁ ଭଲ ଭାବେ ଧରିବା, ଟୋପିକୁ ଟାଇ/ଷ୍ଟ୍ରାପ୍ କରିବା, କିମ୍ବା ବାତାସ ଅଧିକ ହେଲେ ସୁରକ୍ଷିତ ଜାଗାକୁ ଯିବା ଭଲ।	1	Puri	ory_Orya
31	ଦେଖିଲେ ଯଦି ଓଡ଼ିଶାର ଏକ ଝଡ଼ ପରେ ଚାଷଜମିରେ ମାଟିକୁ ହାତରେ ଚିପି ଦେଖୁଛ। ମାଟି ଅତି ଭିଜା କି ନୁହେଁ ଏବଂ ଚାଷ ପାଇଁ ହାଲୁକା କରାଯିବା ଯୋଗ୍ୟ କି ନୁହେଁ କେମିତି ବୁଝିବ?	ମାଟି ଯେତେ ଅଧିକ ଭିଜା ଥାଏ ସେତେ ହାଲୁକା ହୋଇଯାଏ। ମୁଠି ମାରିଲେ ଧୁଳି ଉଡ଼ିଲେ ମାନେ ମାଟି ଭିଜା।	ସାଧାରଣତଃ ମୁଠିରେ ମାଟି ଧରି ଚିପିଲେ ଯଦି ଗୋଲା ହୋଇ ଲେପ ଲାଗୁଛି ଏବଂ ଆଙ୍ଗୁଳିରେ ଚିପଚିପା ଲାଗୁଛି ତେବେ ମାଟି ଅତି ଭିଜା। ଭଲ ଅବସ୍ଥାରେ ମାଟି ଗୋଲା ହୋଇଲେ ମଧ୍ୟ ହାଲୁକା ଚାପରେ ଭାଙ୍ଗିଯାଏ ଏବଂ ହାତରେ ଲେପ ଅଧିକ ରହେ ନାହିଁ।	1	Agriculture	ory_Orya
32	କଳ୍ପନା କର ଝଡ଼ ବର୍ଷା ପରେ ଧାନ ଗୋଦାମରେ ଜୁଟ୍ ବସ୍ତାରେ ଧାନ ରଖାଅଛି। ବସ୍ତା ଭିଜାପନ ଓ ଧାନର ଗନ୍ଧ ଦେଖି କେମିତି ଜାଣିବ ଯେ ଚାଉଳ ନଷ୍ଟ ହେବା ଝୁମ୍ପରେ?	ଜୁଟ୍ ବସ୍ତା ଭିଜିଲେ ଧାନ ଅଧିକ ସୁକା ରହେ ଏବଂ ଗନ୍ଧ ଭଲ ହୋଇଯାଏ। ତେଣୁ ଚିନ୍ତାର କଥା ନୁହେଁ।	ବାସ୍ତବରେ ଜୁଟ୍ ବସ୍ତା ଭିଜା ଲାଗୁଛି କିମ୍ବା ଧାନରୁ ଟାଣ ଗନ୍ଧ ଆସୁଛି ତେବେ ଆର୍ଦ୍ରତା ବଢ଼ିଛି ବୋଲି ଧାରଣା। ଦାଣା ହାତରେ ଧରିଲେ ଅତି ନରମ ଲାଗିବା କିମ୍ବା ଚିପଚିପା ହେବା ମଧ୍ୟ ଖରାପ ସଙ୍କେତ। ଏଭଳି ଅବସ୍ଥାରେ ଶୀଘ୍ର ଧାନକୁ ପସାରି ଶୁଖାଇବା ଦରକାର।	1	Agriculture	ory_Orya
33	ଚାଷ ଜମିକୁ ଯାଇ ଝଡ଼ ପରେ ଜଳାବଦ୍ଧ ଥିବା ଧାନଚାରାକୁ ଉଠାଇ ଦେଖ। ଚାରାର ମୂଳ ମଜବୁତି ଓ ପତ୍ରର ରଙ୍ଗ ଦେଖି ବଞ୍ଚିବା ସମ୍ଭାବନା କେମିତି ମାପିବ?	ଜଳରେ ରହିଲେ ମୂଳ ଅଧିକ ଦୃଢ଼ ହୋଇଯାଏ ଏବଂ ପତ୍ର ହଳଦିଆ ହେଲେ ମାନେ ଗଛ ଖୁସି ଅଛି।	ଏପରି ସ୍ଥିତିରେ ମୂଳ ଟାଣିଲେ ସହଜରେ ଖୁଲିଯାଉଛି କିମ୍ବା ମୂଳ ନରମ ଓ ଗଲାଗଲା ଲାଗୁଛି ତେବେ ଚାରା ଦୁର୍ବଳ। ପତ୍ର ଗାଢ଼ ସବୁଜ ଥିଲେ ଭଲ ସଙ୍କେତ ଯେ ଗଛ ଏପର୍ଯ୍ୟନ୍ତ ସଚଳ। ଅତି ହଳଦିଆ କିମ୍ବା ବୁନା ଛାପ ଥିଲେ ଜଳାବଦ୍ଧତାର ଷ୍ଟ୍ରେସ୍ ସୂଚାଏ।	1	Agriculture	ory_Orya
34	ଧର ଓଡ଼ିଶାର ଉପକୂଳରେ ଝଡ଼ ପରେ ମାଟିରେ ଲୁଣିଆ ପାଣି ରହିଗଲା। ହାତରେ ମାଟି ଛୁଇଁ ଏବଂ ସୁକିଲାପରେ ସତହର ଦାଗ ଦେଖି ଲବଣତା କିପରି ଧରିପାରିବ?	ଲୁଣିଆ ପାଣି ଲାଗିଲେ ମାଟି ଏକଦମ କଳା ହୋଇଯାଏ ଏବଂ ସୁକିଲେ କୌଣସି ପାଉଡ଼ର ଦାଗ ରହେ ନାହିଁ।	ଭଲ ଧ୍ୟାନ ଦେଲେ ସୁକିଲା ପରେ ମାଟିର ଉପରେ ହାଲୁକା ସଫେଦ ପତଳା ପରତ କିମ୍ବା ଦାଗ ଦେଖାଯାଇପାରେ ଯାହା ଲୁଣର ଚିହ୍ନ ହୋଇପାରେ। ମାଟି ଛୁଇଁଲେ ଅଧିକ କଠିନ ହେବା ଓ ଚାରା ଲଗାଇଲେ ପତ୍ର ଶୀଘ୍ର ମଲିବା ମଧ୍ୟ ଲବଣତାର ପ୍ରଭାବ ସୂଚାଏ।	1	Agriculture	ory_Orya
35	ଭାବ ଝଡ଼ର ପବନରେ କଦଳୀ ଗଛ ଭାଙ୍ଗିଗଲା। ଗଛର ତଣ୍ଡକୁ କଟି ଦେଖିଲେ ଭିତର ରେଶା ଓ ପାଣିଆପନ ଆଧାରରେ “ତାଜା ଭାଙ୍ଗିଲା” ନା “ପୂର୍ବରୁ ପଚିଥିଲା” କିପରି ଅଲଗା କରିବ?	ତାଜା ଭାଙ୍ଗିଲେ ଭିତର ଏକଦମ ଶୁଖିଲା ଓ ଖରାପ ଲାଗେ। ପଚିଥିଲେ ଭିତର ଟାଇଟ୍ ଓ ସୁକାଉଥାଏ।	ସାଧାରଣତଃ ତାଜାଭାବେ ଭାଙ୍ଗିଲେ ତଣ୍ଡ ଭିତରେ ଅଧିକ ପାଣିଆପନ ଏବଂ ସଫା ରେଶା ଦେଖାଯାଏ। ପୂର୍ବରୁ ପଚିଥିଲେ ଭିତର ରଙ୍ଗ ଧୂସର/ବୁନା ହୋଇପାରେ ଏବଂ ଗନ୍ଧ ଅସୁବିଧାଜନକ ଲାଗିପାରେ। କଟା ସତହ ଅତି ନରମ ଓ ଚିପଚିପା ହେଲେ ପଚନର ସଙ୍କେତ ହୁଏ।	1	Agriculture	ory_Orya
36	ଏକଥା ଚେକ୍ କର ଝଡ଼ ପରେ ଆମ୍ବ ଗଛର ଛାଲ ଉଠିଗଲା କିମ୍ବା ଡାଳ ଫାଟିଗଲା। ଛାଲର ଟେକ୍ସଚର ଓ ଫାଟର ଧାର ଦେଖି କେତେ ନୂଆ କ୍ଷତ ହେଉଛି ତାହା କେମିତି ଚିହ୍ନଟ କରିବ?	ନୂଆ କ୍ଷତ ହେଲେ ଫାଟ ଧାର ଗାଢ଼ କଳା ହୋଇଯାଏ ଏବଂ ଛାଲ ପଥର ପରି କଠିନ ଲାଗେ।	ଉଚିତ ଭାବେ ଦେଖିଲେ ନୂଆ କ୍ଷତର ଧାର ସାଧାରଣତଃ ହଳୁକା ଭିଜା ଏବଂ ତାଜା କାଠର ରଙ୍ଗ ଦେଖାଏ। ପୁରୁଣା କ୍ଷତରେ ଧାର ଶୁଖିଯାଇ ଧୂସର/କଳା ହୋଇପାରେ ଏବଂ ଛାଲ ଅଧିକ ଖରାପ ଲାଗେ। ନୂଆ ଫାଟରୁ କେବେକେବେ ହାଲୁକା ରସ ଚୁଇଁପାରେ।	1	Agriculture	ory_Orya
37	ଆଜି ଝଡ଼ ପରେ ଗୋଠଘରର ଛାଦକୁ ପଲିଥିନ୍ ତାରପୋଲିନ୍‌ ଦେଇ ଢାକିବାକୁ ଯାଉଛ। ତାରପୋଲିନ୍‌ର ମୋଟାଇ ଓ ଫାଟିବା ସମ୍ଭାବନା କିପରି ଯାଞ୍ଚ କରିବ?	ଯେତେ ପତଳା ତାରପୋଲିନ୍ ସେତେ ଦୃଢ଼ ଏବଂ ପବନରେ ଫାଟେ ନାହିଁ। ମୋଟା ହେଲେ ସହଜରେ ଛିଡ଼ିଯାଏ।	ସାଧାରଣତଃ ଅଧିକ ମୋଟା ଏବଂ ଘନ ବୁନାଇ ଥିବା ତାରପୋଲିନ୍‌ ପବନ ଓ ବର୍ଷାକୁ ଭଲ ସହିପାରେ। ହାତରେ ଟାଣିଲେ ଯଦି ଧାର ପାଖରେ ଫାଇବର ଛୁଟୁଛି କିମ୍ବା ଛୋଟ ଚିରା ଦେଖାଯାଉଛି ତେବେ ସେ ଦୁର୍ବଳ। ଗ୍ରମେଟ୍/ରସି ବାନ୍ଧାଯାଉଥିବା ଜାଗା ମଜବୁତ ଅଛି କି ନାହିଁ ମଧ୍ୟ ଚେକ୍ କରିବା ଦରକାର।	1	Agriculture	ory_Orya
38	ସନ୍ଧ୍ୟାବେଳେ ଝଡ଼-ରିଲିଫ୍‌ କ୍ୟାମ୍ପରେ ବାଳୁକା ବସ୍ତା ଭରି ରଖୁଛ। ଭିଜା ବାଳୁକା ଓ ସୁକା ବାଳୁକାର ଓଜନ ଓ “ଧରିରହିବା” ଗୁଣରେ କେଉଁ ତଫାତ ହୁଏ?	ସୁକା ବାଳୁକା ଅଧିକ ଭାରୀ ହୁଏ ଏବଂ ବସ୍ତା ଭିତରେ ପକା ଧରି ରହେ। ଭିଜା ବାଳୁକା ହାଲୁକା ହୋଇ ବାହାରକୁ ଖସିଯାଏ।	ବାସ୍ତବରେ ଭିଜା ବାଳୁକା ପାଣି ଥିବାରୁ ଅଧିକ ଭାରୀ ଲାଗେ ଏବଂ ଦାଣାଗୁଡ଼ିକ ଆଉଁଟି ଧରିଥାଇ ଭଲ ପ୍ୟାକ୍ ହୁଏ। ସୁକା ବାଳୁକା ହାଲୁକା ହୋଇପାରେ ଏବଂ ବସ୍ତା ଭିତରେ ଢିଲା ରହି ଆକାର ଶୀଘ୍ର ବଦଳାଇପାରେ। ସେହିପାଇଁ flood-barrier ପାଇଁ ହାଲୁକା ଭିଜା ବାଳୁକା ଅଧିକ କାମ ଦେଇପାରେ।	1	Agriculture	ory_Orya
39	ପାଣି ହଟିଲା ପରେ ଚାଷୀ ଭାବେ ମଞ୍ଜି ଅଙ୍କୁରଣ ଟେଷ୍ଟ କରୁଛ। ମଞ୍ଜିକୁ ଭିଜା କପଡ଼ାରେ ରଖି ଦୁଇ ଦିନ ପରେ ଛୁଇଁ ଏବଂ ଦେଖି କେମିତି ବୁଝିବ ଯେ ମଞ୍ଜି ଜୀବନ୍ତ କି ନୁହେଁ?	ଭଲ ମଞ୍ଜି ଭିଜିଲେ ସାଥିସାଥି ଦୁଧିଆ ରଙ୍ଗ ହୋଇଯାଏ ଏବଂ ଗନ୍ଧ ତୀବ୍ର ହୁଏ। ଅଙ୍କୁର ନ ଆସିଲେ ମଧ୍ୟ ଠିକ୍।	ଭଲ ମଞ୍ଜି ଭିଜା ଅବସ୍ଥାରେ ଅତି ଗଲାଗଲା ହୋଇନଥାଏ ଏବଂ ଚିପିଲେ ସହଜରେ ଲେପ ହୁଏ ନାହିଁ। ୧–୨ ଦିନରେ ଛୋଟ ସଫେଦ ଅଙ୍କୁର ବାହାରିଲେ ଜୀବନ୍ତତାର ସଙ୍କେତ। ଯଦି ଦୁର୍ଗନ୍ଧ ଆସେ ଏବଂ ମଞ୍ଜି ନରମ ହୋଇ ଭାଙ୍ଗିଯାଏ ତେବେ ନଷ୍ଟ ହେବା ସମ୍ଭାବନା ଅଧିକ।	1	Agriculture	ory_Orya
40	ଲକ୍ଷ୍ୟ କର ଓଡ଼ିଶାର ଝଡ଼ ପରେ ପୋଖରୀର ପାଣି ଗୋଲା ହୋଇଯାଇଛି। ପାଣିର ରଙ୍ଗ ଓ ଗନ୍ଧ ଆଧାରରେ ମାଛଚାଷ ପାଇଁ ଝୁମ୍ପ କେମିତି ଚିହ୍ନଟ କରିବ?	ପାଣି ଯେତେ ଅଧିକ କଳା ହୁଏ ସେତେ ସୁଚ୍ଛ। ଗନ୍ଧ ଆସିଲେ ମାନେ ଅକ୍ସିଜେନ୍ ବଢ଼ିଛି।	ସାଧାରଣତଃ ପାଣି ଅତି ମାଟିଆ-ବୁନା ହୋଇଗଲେ ଏବଂ ଗନ୍ଧ କାଦୁଆ/ପଚା ଭଳି ଲାଗିଲେ ଜଳଗୁଣ ଖରାପ ହେବାର ସଙ୍କେତ ହୋଇପାରେ। ଏଭଳି ଅବସ୍ଥାରେ ମାଛ ଉପରପଟେ ମୁହଁ କରି ହାଫୁଛି କି ନାହିଁ ଦେଖିଲେ ମଧ୍ୟ ଧାରଣା ମିଳେ। ଗୋଲାପନ କମେଇବା ପାଇଁ ପାଣି ଚଳାଚଳ କରାଇବା ଓ ଅତିରିକ୍ତ ଖାଦ୍ୟ ନ ଦେବା ସହାୟକ ହୋଇପାରେ।	1	Agriculture	ory_Orya
41	ମନେ ରଖ ଝଡ଼ ପରେ ଗାଈ-ଖାଦ୍ୟ ଖୋରାକ (ପୁଆଳ) ଭିଜିଗଲା। ଛୁଇଁ ଦେଖି ଏବଂ ଗନ୍ଧ ନେଇ କିପରି ବୁଝିବ ଯେ ଫଫୁଁଦ ଲାଗୁଛି କି ନାହିଁ?	ଫଫୁଁଦ ଲାଗିଲେ ପୁଆଳ ଅଧିକ ସୁଗନ୍ଧ ହୋଇଯାଏ ଏବଂ ଛୁଆଁଲେ ସୁକା ଲାଗେ।	ଭଲ ଯାଞ୍ଚ କଲେ ଫଫୁଁଦ ଲାଗିଥିବା ପୁଆଳରୁ ଟାଣ ଗନ୍ଧ ଆସିପାରେ ଏବଂ ଛୁଆଁଲେ ଅଳ୍ପ ଚିପଚିପା କିମ୍ବା ଅତି ନରମ ଲାଗିପାରେ। କେବେକେବେ ସଫେଦ/ହଳଦିଆ ପାଉଡ଼ର ଭଳି ଲେପ ଦେଖାଯାଏ। ଏଭଳି ଖାଦ୍ୟ ପଶୁକୁ ଦେଲେ ସମସ୍ୟା ହୋଇପାରେ ତେଣୁ ଅଲଗା କରି ଶୁଖାଇବା କିମ୍ବା ବଦଳାଇଦେବା ଉଚିତ।	1	Agriculture	ory_Orya
42	କଳ୍ପନା କର ଓଡ଼ିଶାର ମ୍ୟାଙ୍ଗ୍ରୋଭ୍ ଅଞ୍ଚଳରେ ଝଡ଼ ପରେ ଗଛ ଟିକିରହିଲା କାହିଁକି। ମ୍ୟାଙ୍ଗ୍ରୋଭ୍ ମୂଳର ଗଠନ ଓ ଲଚିଳାପନ ଦିଗରୁ କ’ଣ ଦେଖିବ?	ମ୍ୟାଙ୍ଗ୍ରୋଭ୍ ଗଛର ମୂଳ ଗୋଟେ ମାତ୍ର ସିଧା ଗୋଟିଏ ଡଣ୍ଡ ଭଳି ଥାଏ ଏବଂ ଲଚିଳାପନ ନଥାଏ। ତେଣୁ ଝଡ଼ରେ ଟିକିରହେ।	ମ୍ୟାଙ୍ଗ୍ରୋଭ୍ ଗଛରେ ଅନେକ ଶାଖା-ଶାଖା ମୂଳ ଓ ବାହାରକୁ ବାହାରିଥିବା ପ୍ରପ୍ ରୁଟ୍ ଦେଖାଯାଇପାରେ ଯାହା ମାଟିକୁ ଭଲ ଧରିଥାଏ। ପବନ ଓ ଲହରୀରେ ଗଛ କିଛି ଲଚିଲା ଭାବେ ହଲୁଚିଲେ ମଧ୍ୟ ମୂଳ ଗଠନ ଯୋଗୁଁ ଉପୁଡ଼ିବା କମ୍ ହୁଏ। ଏହାକୁ ଦେଖି ଝଡ଼-ପ୍ରତିରୋଧର ଭୌତିକ କାରଣ ଧରାପଡ଼େ।	1	Agriculture	ory_Orya
43	ଯଦି ଝଡ଼ ପରେ ରିଲିଫ୍‌ କ୍ୟାମ୍ପରେ ପିଇବା ପାଣି ଟାଙ୍କିର ପାଣି ଅଳ୍ପ ଗୋଲା ଦେଖାଯାଏ ତେବେ ତାହାର ପାରଦର୍ଶିତା ଓ ଗନ୍ଧ ଆଧାରରେ କଣ କରିବା ଭଲ?	ଗୋଲା ପାଣି ଅଧିକ ପୋଷକ ଥାଏ ତେଣୁ ସିଧା ପିଇଲେ ଠିକ୍।	ପାଣି ଗୋଲା ଏବଂ ଗନ୍ଧ ଅସ୍ୱାଭାବିକ ଲାଗିଲେ ସିଧା ପିଇବା ଉଚିତ ନୁହେଁ। ଫିଲ୍ଟର କରିବା କିମ୍ବା ସଫା ପାଣିର ବ୍ୟବସ୍ଥା କରି ତାପରେ ଉପଯୋଗ କରିବା ଭଲ।	1	Agriculture	ory_Orya
44	ପୁନର୍ବାସ ସମୟରେ ପ୍ଲାଷ୍ଟିକ୍ ରେସନ୍ ପ୍ୟାକେଟ୍ ମିଳିଲା। ପ୍ୟାକେଟ୍‌ ଭିତରକୁ ଆର୍ଦ୍ରତା ଯାଉଛି କି ନାହିଁ କିପରି ଧରିବ?	ପ୍ୟାକେଟ୍‌ ମୋଟା ଥିଲେ ଆପେଆପେ ଭିତର ଖାଦ୍ୟ ଭିଜିଯାଏ ଏବଂ ଭଲ ରହେ।	ପ୍ୟାକେଟ୍‌ ଭିତରେ ଝୁରା ଖାଦ୍ୟ ଗାଠି ହୋଇଯିବା କିମ୍ବା ପ୍ୟାକେଟ୍‌ ଭିତରେ ବାପ ଧରା ପରି ଦେଖାଗଲେ ଆର୍ଦ୍ରତା ପ୍ରବେଶ ହୋଇଛି ବୋଲି ବୁଝାଯାଏ। ସିଲ୍‌ ଭାଙ୍ଗା ଅଛି କି ନାହିଁ ମଧ୍ୟ ଚେକ୍ କରିବା ଦରକାର।	1	Agriculture	ory_Orya
45	ଝଡ଼ ପରେ ଚାରା ଲଗାଇବାକୁ ମାଟି ଖୋଡ଼ୁଛ। ମାଟି ଅତି କଠିନ ହୋଇଗଲେ କୋଦାଳ ଲାଗିଲାବେଳେ ଧ୍ୱନି ଓ ଖଣ୍ଡ ଭାଙ୍ଗିବା ଧରଣ ଦେଖି କଣ ବୁଝିବ?	କଠିନ ମାଟିରେ କୋଦାଳ ପଡ଼ିଲେ ଧୀରେ ଶବ୍ଦ ହୁଏ ଏବଂ ମାଟି ଧୂଳି ପରି ହୋଇଯାଏ।	କଠିନ ମାଟିରେ ଆଘାତ ପଡ଼ିଲେ ଟକ୍‌ ଟକ୍‌ ଭଳି ଧାରାଳ ଶବ୍ଦ ହୋଇପାରେ ଏବଂ ବଡ଼ ବଡ଼ ଗାଠି ଭାଙ୍ଗିପଡ଼େ। ଏହା ମାଟିର ଆର୍ଦ୍ରତା କମ୍ କିମ୍ବା ଅତ୍ୟଧିକ ସଂକୋଚନ ସୂଚାଏ।	1	Agriculture	ory_Orya
46	ବନ୍ୟପ୍ରାଣୀ ଦିଗରୁ ଝଡ଼ ପରେ ଗାଁ ପାଖରେ ସାପ ଦେଖାଯାଉଛି। ଭିଜା ମାଟି ଓ ତାପମାତ୍ରା ଭଳି ଭୌତିକ ପରିବର୍ତ୍ତନ ଯୋଗୁଁ ଏହା କେମିତି ସମ୍ଭବ?	ସାପ ସବୁବେଳେ ଶୁଖିଲା ମାଟିରେ ମାତ୍ର ରହେ ଏବଂ ଭିଜା ମାଟିକୁ ଆସେ ନାହିଁ।	ଝଡ଼ ପରେ ଗୁହା/ଗର୍ତ୍ତ ଜଳଭରା ହେଲେ ସାପ ଉଚ୍ଚ ଏବଂ ଶୁଖିଲା ସ୍ଥାନକୁ ସରିପାରେ। ଭିଜା ମାଟିରେ ତାଙ୍କର ଚଳାଚଳ ଅଧିକ ସହଜ ହୋଇପାରେ ଏବଂ ଖାଦ୍ୟ ଖୋଜିବା ଆଚରଣ ମଧ୍ୟ ବଦଳିପାରେ।	1	Agriculture	ory_Orya
47	ଓଡ଼ିଶାର ଜଙ୍ଗଲି ଉଦ୍ଭିଦ ଉପରେ ଝଡ଼ ପରେ ପତ୍ରରେ ଧୂଳି-କାଦୁଆ ଲେପ ଲାଗିଛି। ଗଛକୁ ପାଣି ଛିଟାଇ ସଫା କଲେ ପତ୍ରର ଟେକ୍ସଚର ଓ ରଙ୍ଗ କେମିତି ବଦଳିବ?	ପାଣି ଛିଟାଇଲେ ପତ୍ର ଅଧିକ ଧୂସର ହୋଇଯାଏ ଏବଂ ଟେକ୍ସଚର କଠିନ ହୋଇଯାଏ।	କାଦୁଆ ଲେପ ହଟିଲେ ପତ୍ରର ସବୁଜ ରଙ୍ଗ ଅଧିକ ସ୍ପଷ୍ଟ ଦେଖାଯାଇପାରେ ଏବଂ ପୃଷ୍ଠତଳ ମସ୍ତ ଲାଗିପାରେ। ଅତ୍ୟଧିକ ଜୋରରେ ମଝିଲେ କିଛି କୋମଳ ପତ୍ର ଫାଟିପାରେ ତେଣୁ ହାଲୁକା ଭାବେ ସଫା କରିବା ଭଲ।	1	Agriculture	ory_Orya
